,GPS,camera,image,exchange,calendar,contact,synchronize,search,screen,lock,message,voicedialing,bluetooth,audio,system,browser,network,signal,display,app,email,setting,calling,wifi,keyboard,car,SD_card,alarm,text,android_market,UI,battery,upgrade,dialing,ringtone,volume,notification,vibrate,video,time,swype,input,multimedia_dock,headset,gtalk,USB,touchscreen,voice_dialing,google_wave,download,youtube,upload,VPN,calculator,monkey,flash,CPU
contact,0.03125,0.0,0.02,0.0,0.008849557522123894,0.24,0.08421052631578947,0.012345679012345678,0.008620689655172414,0.0,0.06086956521739131,0.014285714285714285,0.010101010101010102,0.020134228187919462,0.009259259259259259,0.043478260869565216,0.021505376344086023,0.013157894736842105,0.007518796992481203,0.02666666666666667,0.026845637583892617,0.010416666666666666,0.009615384615384616,0.011627906976744186,0.010752688172043012,0.0,0.0125,0.0136986301369863,0.0125,0.05319148936170213,0.010869565217391304,0.012195121951219513,0.0423728813559322,0.047619047619047616,0.0,0.0,0.01098901098901099,0.0,0.0,0.0,0.0,0.01282051282051282,0.0,0.0,0.0,0.0,0.0136986301369863,0.0,0.0,0.0,0.0,0.0,0.0,0.014285714285714285,0.0,0.0,0.0,
multimedia,0.02631578947368421,0.0,0.038461538461538464,0.017543859649122806,0.010869565217391304,0.019801980198019802,0.0,0.0,0.02127659574468085,0.043478260869565216,0.020202020202020204,0.0,0.05333333333333334,0.08264462809917356,0.023255813953488372,0.01652892561983471,0.027777777777777776,0.0,0.0,0.015267175572519083,0.015384615384615385,0.02702702702702703,0.012048192771084338,0.015384615384615385,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.05084745762711865,0.0,0.015151515151515152,0.0,0.02,0.028985507246376812,0.0,0.03278688524590164,0.0,0.02127659574468085,0.0,0.0,0.03278688524590164,0.01818181818181818,0.0392156862745098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
system,0.010101010101010102,0.0,0.04040404040404041,0.02564102564102564,0.036036036036036036,0.03305785123966942,0.04,0.0,0.017241379310344827,0.03296703296703297,0.05128205128205128,0.0,0.020202020202020204,0.04081632653061224,0.06796116504854369,0.058394160583941604,0.010526315789473684,0.0,0.015037593984962405,0.019736842105263157,0.03355704697986577,0.010309278350515464,0.009523809523809525,0.023255813953488372,0.010638297872340425,0.0,0.012345679012345678,0.0273972602739726,0.0,0.030927835051546393,0.0,0.037037037037037035,0.06896551724137931,0.011363636363636364,0.0,0.0,0.0449438202247191,0.0,0.036585365853658534,0.0,0.0,0.0,0.0,0.024096385542168676,0.012987012987012988,0.0,0.013513513513513514,0.0,0.014705882352941176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
null,0.0,0.034482758620689655,0.0,0.0,0.017241379310344827,0.0,0.0,0.0,0.0,0.0,0.015151515151515152,0.0,0.0,0.0,0.018867924528301886,0.011363636363636364,0.0,0.0,0.01282051282051282,0.020618556701030927,0.031578947368421054,0.0,0.0,0.0,0.02631578947368421,0.0,0.0,0.0,0.04,0.023255813953488372,0.0,0.0,0.014925373134328358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
notification,0.014925373134328358,0.0,0.0,0.0,0.0375,0.010869565217391304,0.014084507042253521,0.0,0.011764705882352941,0.0,0.02247191011235955,0.0,0.014705882352941176,0.04310344827586207,0.02631578947368421,0.008928571428571428,0.03225806451612903,0.0,0.00980392156862745,0.0423728813559322,0.008264462809917356,0.015384615384615385,0.027777777777777776,0.037037037037037035,0.0,0.021739130434782608,0.0,0.023809523809523808,0.0,0.0,0.0,0.04,0.022222222222222223,0.0,0.022222222222222223,0.025,0.08928571428571429,0.15384615384615385,0.0392156862745098,0.022222222222222223,0.0,0.0,0.023809523809523808,0.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.0,0.0,0.0,0.0,0.0,
email,0.009433962264150943,0.0,0.009174311926605505,0.10126582278481013,0.03389830508474576,0.023255813953488372,0.08823529411764706,0.0,0.02459016393442623,0.01,0.007751937984496124,0.0,0.0,0.012658227848101266,0.017391304347826087,0.020134228187919462,0.00980392156862745,0.0,0.0364963503649635,0.038461538461538464,0.2677165354330709,0.029411764705882353,0.03669724770642202,0.010638297872340425,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02247191011235955,0.031496062992125984,0.0,0.011904761904761904,0.0,0.0,0.0,0.0,0.0,0.013157894736842105,0.0,0.0,0.01098901098901099,0.0,0.0,0.0,0.0,0.0,0.0,0.01282051282051282,0.0,0.0,0.01282051282051282,0.013157894736842105,0.0,0.0,
alarm,0.021505376344086023,0.0,0.0,0.013513513513513514,0.0784313725490196,0.01694915254237288,0.03125,0.012987012987012988,0.08653846153846154,0.05952380952380952,0.017241379310344827,0.0,0.0,0.027777777777777776,0.06060606060606061,0.037037037037037035,0.0,0.0,0.031746031746031744,0.0273972602739726,0.013605442176870748,0.010869565217391304,0.06315789473684211,0.0,0.022727272727272728,0.05714285714285714,0.013157894736842105,0.014492753623188406,0.0,0.010638297872340425,0.011363636363636364,0.0,0.034782608695652174,0.012048192771084338,0.013888888888888888,0.0,0.023255813953488372,0.0,0.012658227848101266,0.013888888888888888,0.0,0.013513513513513514,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
null,0.012048192771084338,0.0,0.0,0.015873015873015872,0.03125,0.0,0.047619047619047616,0.015151515151515152,0.04081632653061224,0.05405405405405406,0.038834951456310676,0.01818181818181818,0.011904761904761904,0.04580152671755725,0.03296703296703297,0.075,0.02564102564102564,0.0,0.043859649122807015,0.02962962962962963,0.029850746268656716,0.05128205128205128,0.011235955056179775,0.0,0.025974025974025976,0.016129032258064516,0.03125,0.0,0.015384615384615385,0.0,0.012987012987012988,0.030303030303030304,0.018867924528301886,0.0,0.0,0.0,0.0547945205479452,0.0,0.0,0.0,0.0,0.0,0.017241379310344827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01818181818181818,0.0,0.0,0.0,
audio,0.010526315789473684,0.0,0.03125,0.0,0.00909090909090909,0.01680672268907563,0.0,0.01282051282051282,0.008849557522123894,0.034482758620689655,0.02586206896551724,0.0,0.0898876404494382,0.13740458015267176,0.0392156862745098,0.021739130434782608,0.01098901098901099,0.0136986301369863,0.015503875968992248,0.03424657534246575,0.013513513513513514,0.03296703296703297,0.10869565217391304,0.0,0.011111111111111112,0.0273972602739726,0.02631578947368421,0.0,0.0,0.02127659574468085,0.022727272727272728,0.0,0.02564102564102564,0.011904761904761904,0.0136986301369863,0.014705882352941176,0.022988505747126436,0.0,0.0,0.0,0.0,0.0,0.0,0.06578947368421052,0.0136986301369863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015151515151515152,0.0,
system,0.017241379310344827,0.0,0.01639344262295082,0.0,0.0,0.0,0.03278688524590164,0.0,0.0,0.0,0.0379746835443038,0.03333333333333333,0.034482758620689655,0.009009009009009009,0.045454545454545456,0.0196078431372549,0.0,0.0,0.021739130434782608,0.03636363636363636,0.018018018018018018,0.0,0.015625,0.021739130434782608,0.0,0.0,0.0,0.030303030303030304,0.05128205128205128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0196078431372549,0.0,0.0,0.0,0.0,0.0,0.0,0.023255813953488372,0.0,0.0,0.0,0.03571428571428571,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
