,calling,browser,setting,gtalk,null,wifi,calendar,android_market,input,camera,image,email,wifi,keyboard,setting,UI,sms,bluetooth,display,browser,contact,multimedia,system,null,notification,email,alarm,null,audio,system
2011-04,0.021016928764164205,0.007213720662675478,0.007556400077869847,0.00247600510758982,0.002549109232854164,0.003921018650469684,0.04461709428519754,0.07353867539622529,0.07138342407247608,0.011538470064518613,0.02192335369881295,0.004359870372407546,0.04418049016771497,0.07527852380409904,0.021658272616686784,0.02186950524964925,0.0316704466088068,0.01842798846395943,0.14661509492862668,0.14473066391325093,0.02475196312247598,0.048636967928907614,0.010468703374778121,0.029611621484247015,0.0112788810662264,0.0013008861363733367,0.006286496492425113,0.045579668707385224,0.029994870683908274,0.015564884865217815,
2011-03,0.008175219079545371,0.024421001019429237,0.005426826876558947,0.025751120503964903,0.029114737063515018,0.044083565382050945,0.005747606052935631,0.035169463994519284,0.07868281829424469,0.02576746499960376,0.04504876486308517,0.04076869077786478,0.02207344268282211,0.02318758867327563,0.10536429835787915,0.02158554138698914,0.03058086413675065,0.03805184409559423,0.09967282021820692,0.0817079806511006,0.038244722394683676,0.02660402996105738,0.019683099479633374,0.011747482317895745,0.021511974978929805,0.02628217992744138,0.023784994627282407,0.009545290447669313,0.011073980027373281,0.021140586728097457,
2011-02,0.012703936531845768,0.006028261575213389,0.0046039486633173725,0.005659122088039565,8.869855994784028E-4,0.01037289100664606,0.05962825434979538,0.090359268151302,0.03368002094082587,0.012147435914497481,0.023526481362204785,0.030251085478520505,3.212859234398638E-4,0.00296865657759942,0.14217385139840813,0.01700655503476861,0.002078735599450939,0.004304870822085153,0.09441226133926067,0.15836980565914424,0.014072625086085786,0.0558743943176072,0.018669039211290386,3.790183008682638E-5,0.03699596646245849,0.07996425121793355,0.003262150678403744,0.04377702428796712,0.02993414426714783,0.00592878862517549,
2011-01,0.017991476151266804,0.022827092433048434,0.010109403542427632,0.012308750101795713,0.04139251960235462,0.0032756318024138075,0.05780816424582597,0.054331373274578994,0.05908211224040538,1.6796855098271532E-4,0.02647172263364356,0.005475687281294771,0.002633746436302162,0.0381214438760047,0.03523793355649307,0.046149086334547645,0.05154667816321624,0.04487585540992924,0.12942394888232328,0.13529616374320608,0.001597055094484213,0.021573611161624165,0.03558339374009589,7.715338057582884E-5,0.007517845815053043,0.06228434362882616,0.012892250054108621,0.013165053106216412,0.04924682004174481,0.0015357157152099774,
2009-10,-2.242276787367881E-4,9.700183760199095E-7,-5.8246415477122654E-5,-1.7300849691120844E-4,-1.7161390699978033E-4,3.457034992079042E-5,-4.1463497462393065E-7,3.6928464921870467E-4,-3.0960518931138384E-5,0.11504283337972614,-7.934844060237022E-5,6.267806941059843E-5,8.598680271449888E-6,2.6889865532034893E-4,0.22089530074158298,0.0027618944350002246,-1.4296511177560295E-6,-5.589791505431187E-5,-2.1400441805561694E-5,2.8663101044920206E-5,1.4517336098139259E-8,0.019383053018490023,-2.1104615631469716E-4,5.056784964362924E-6,-1.9306236719898916E-5,5.6295344507648316E-5,0.6427010196058529,-1.0565218840675108E-4,-1.307046835614923E-4,-3.358739854097044E-4,
2010-07,0.07343224583448256,0.04554080781871991,0.03150232463871228,0.0319577784798438,0.02741600362088574,0.03541301841092269,0.07704167346817906,0.023281401064175495,0.004301953455132673,0.042239883000597084,0.05631527414246122,0.011105048728294396,0.017198447517230396,0.018104802354898728,0.03134098980926872,0.09065082898584807,0.0161259844058731,0.06688392227843609,0.013145029466015859,0.004269639815434772,0.025026312557881784,0.02949146258875157,0.014532760132071488,6.127716515370431E-5,0.006090519120110044,0.03767419643773019,0.08764738782526074,0.03881910499279854,0.039906668312682574,0.003483253572146739,
2010-06,0.05291178425319027,0.02301724849222022,0.013165903404017472,0.05534163443901774,0.06404131711224932,0.00157491734089058,0.04577834688358959,0.017365865898759044,0.011810478907146085,0.03593579093150062,0.019443771214443663,0.004033826211775319,0.0164845573948017,0.04929844262641827,0.058191274843471606,0.04559630790381433,0.03456978323702968,0.07214345730286714,0.04800945429000095,0.001397288184164859,0.008185018325298266,0.016792560185486898,0.0505732128035055,1.0212700176466772E-4,0.006815931520601637,0.03422306690334745,0.059598133464669724,0.03912148030917964,0.07659323551851335,0.03788378309626438,
2010-05,0.03966382872760843,0.02101474187736555,0.01899978909256336,0.07645870384604087,4.487030406569265E-4,0.023306937405184972,0.040516178705641774,0.048605819058689194,0.022192444078370406,0.0187735050460024,0.06055334852667627,0.003011171047286101,0.03549130676133034,0.02563523164635731,0.06077286453824593,0.04102233575813064,0.0966805248852175,0.0611877820459634,0.008123865801753965,0.011772746525522432,0.043335159839733954,0.04463885879033945,0.013149627670755304,0.0011195811784150316,0.005263637020125623,0.04852200268096235,0.04022517235612326,0.031793385437555145,0.04909968209817236,0.008621064513209755,
2009-12,0.06516456371469247,0.01541691942959038,0.01773401480078667,0.02465383078335839,0.028578331913903625,0.0020253971781556126,0.04193910083571661,0.030588571999132282,0.007345160599234167,0.05131812232973603,0.038542741022871675,0.02764100130075567,0.038965507326123784,0.06097967679404985,0.03360093982074463,0.03024469177568889,0.033034379561030176,0.038647392382485456,0.004754351188716996,0.009135054460733597,0.08796410671575555,0.02275546916387338,0.06206805339961514,0.00809352218385286,0.023477242034151136,0.08335232822914046,0.035625329240328525,0.028172247840868574,0.03920015810348356,0.008981793871423924,
2010-04,0.06782000805605685,0.09068501731426973,0.03912104889861456,0.03989136077259199,0.03814248693994146,6.761293234516005E-4,0.015868151364826378,0.07134880050707984,0.030976937307735593,0.030584880275569177,0.03477064526871334,0.011836266511034251,0.0153140887264907,0.007366744374290183,0.04316217039748557,0.04258950841579354,0.02021294265079309,0.015433413489552947,0.007638984807328317,0.012935089320698083,0.054967763821518384,0.0177398062950652,0.06550022376107942,0.0067261199836846815,0.005917316377789003,0.041495361122898304,0.028628026208721978,0.015567607323829568,0.07613903454999192,0.0509440658331043,
2009-11,0.04917042352246855,0.04204618446130066,0.04767610472296086,0.019692613669708512,0.016913327971975162,0.006376777358418266,0.03237733318496102,0.03364683319777864,0.01710913010457184,0.05730127872856588,0.020385651905730093,0.03783621775091897,0.0319891779436092,0.03858743179585622,0.03248482299157996,0.035877447095682684,0.02721856207636104,0.02156065929725479,0.008622122330472798,0.007111015154686675,0.07041941664798874,0.014742241026872051,0.04863449439920035,0.004268362844714903,0.04503609691831744,0.06760111513889061,0.06736277367631657,0.040046850342679394,0.036147724266963346,0.021757809473194785,
2010-03,0.04227823274756993,0.03854418381114343,0.038673932908535345,0.02152970130759,4.132629935811514E-4,1.896571496675923E-4,0.04769707853384216,0.04885319808134027,0.015237779515425681,0.06064594342732328,0.049434027587154906,0.012035692120618832,0.04045840588329588,0.05251856512685788,0.0473332391029449,0.03636182191606554,0.04841727494134121,0.09533964237174944,0.02069871777206902,0.004792801162300392,0.048570133401046385,0.029145574733833043,0.04789320585493517,0.006944701089114518,0.004934332062735982,0.006207024116001383,0.027018840397925882,0.048787114783764976,0.05194792276695307,0.0070979923332727835,
2010-02,0.13358432311914212,0.036524908223029215,0.029504848996607422,0.07249877029169338,0.009287196654333354,0.0012810137765939113,0.0255946632464454,0.030917497446518158,0.030062189270316314,0.009932609810096315,0.025550900709982723,0.02432507037163767,0.035487294895792984,0.041387677004419504,0.017055698653056752,0.03870384188230748,0.05965171000392364,0.031009677200730227,0.01975561033614708,0.01126307056587217,0.029883491941749035,0.030334311989220965,0.04392848807798189,1.7664906370920203E-4,0.023113388729175434,0.028505396426883507,0.03753839908532894,0.03732882766954249,0.06154399173500392,0.024268482822758758,
2010-01,0.028033101203824507,0.02332039157790613,0.04368422410195613,0.03587838957117885,0.009358110261177537,0.0018819777798868556,0.13714860229748174,0.05513227681462699,0.009349445151945562,0.02393290646773412,-0.021983448788068523,0.027855247349549594,0.008432444955317924,0.08415496250468664,0.034571534398220846,0.05071672362870082,0.04729691327683654,0.029600081966015556,0.016901622475948185,0.018505726782146095,0.03739711635877602,0.03531283456855871,0.05691305553676673,0.013292119487818393,0.013293075383883862,0.054642440545750785,0.047492069466157014,0.031407633347947224,0.026571417916159773,0.019907003611109413,
2010-09,0.04657939030300734,0.0762024845994507,0.024789515922334058,0.04366126898133219,0.019145835540539044,0.008975003781577775,0.05197751066694827,0.06427547137549301,0.013087921729952358,0.06009225550842982,0.06435260821785573,0.013862729490742241,0.015667827677783984,0.04018580098647615,0.03276602368357895,0.029563974697673977,0.03723230821121839,0.061775077448036134,0.054917635233489887,0.03164699543480872,0.057216214839200766,0.030723783831581482,0.017081879943809778,5.59425913997145E-4,0.007204307418952547,0.022937040672956762,0.026740591125770846,0.015075120618109832,0.02738616682324796,0.00431782932164414,
2010-08,0.028025073873431908,0.06848241384449073,0.04024771197164172,0.03727746755727682,0.019388357851368974,0.0037642428696298812,0.05016253810819171,0.06906510954977065,0.007484320744841128,0.020866896198128426,0.02834257761194399,0.00836874317572578,0.04128716307873149,0.07075375293910699,0.08618682933223118,0.020590359503819277,0.034538808050821844,0.05999836536749252,0.006518021898567719,0.004632365040174132,0.050717849814302045,0.012988534890758767,0.04144130157175422,0.002273497957398798,0.03472083879220367,0.028185832535708253,0.015426305809317517,0.049513834292875585,0.0334720392077091,0.025278846560585114,
