,message,SIM_card,setting,time,UI,bluetooth,system,app,upgrade,email,synchronize,notification,memory,calling,message,wifi,network,input,contact,audio,image,display,browser,google_map,image,app,calendar,android_market,null,UI,keyboard,video,null,language,alarm
2011-09,0.018006474784394592,0.004349726475559606,0.0030040942472407237,0.02387327536713217,0.033077080834116715,0.036084086582411454,0.030969234172177798,0.005629861332801632,0.023200698117894242,0.01708659996696945,0.02061210354579583,0.014186235105671005,0.10850281670578445,0.017051216493756148,0.004798822792150744,0.07230056571312109,0.027067319371610166,0.014591109458578971,0.02753981195550694,0.028515961451417705,0.03060602109173606,0.05665217534360769,0.01963365603306526,0.036615025024323296,1.0918304279313434E-4,0.02028465057270962,0.023390774702429753,0.007889466274283939,0.07086453689232783,0.020739005002728628,0.007777101280543188,0.06277591770949954,1.6856327640060343E-4,0.10570261317166156,0.006344216107798552,
2011-08,0.011078079566391386,0.031935387414999135,0.04753573938310827,0.022704733388137215,0.04048104424038746,0.045532406892785225,0.037462250484393826,0.02497117151622984,0.012648161132005233,0.060864597421757406,0.017277574108964248,0.012952284915617302,0.010632454825539251,0.05342329922936696,0.0995611135200736,0.05286903142902753,0.01260619103957525,0.023375653630466037,0.022097430889674297,0.011849035494519237,0.012829482384159277,0.04670247211187174,0.03641038211182568,0.03131200481615981,5.5533725980103E-4,0.001646784869903677,0.011476504299749198,0.035439922710299554,0.043171034483533086,0.007277639951436421,0.029775705408974996,0.016104485440952335,0.004161520021539855,0.031333454087685286,0.03994562951908929,
2011-07,0.019578465579720428,0.00844843544035769,0.024131052643999507,0.0318047913617506,0.014214317123871539,0.05830614185035114,0.03192139801992189,0.028046277974483495,0.024017195371153936,0.002741149965291302,0.007107209198786692,2.2375726956713299E-4,0.0039698235408254165,0.003631859312234127,0.06945504488248931,0.036983029471258685,0.026172439220269808,0.023506790885903715,0.0015816251029294546,0.024214028881990934,0.004493890285697554,0.017610333269956147,0.024064528920105237,0.01790231755924333,0.02325593936094836,0.0010325002573937762,0.043905668883419464,0.06819799028561518,0.09279967377635041,0.03160894370375065,0.040976688324369806,0.023011489666325425,0.004478436123597565,0.1072639092402899,0.05934285724578044,
2011-06,0.044927833739612066,0.03709694351331027,0.00405802592090301,0.036914712784467445,0.01992508083293833,0.0050388819746498455,0.03704318973818384,0.029289147717450763,0.012399225625650665,0.015547442793724995,0.02234921605279301,0.02068604781359917,0.0043466362190659105,0.032383077605652504,0.10320729674031534,0.03355568410505584,0.04369489196530145,0.035170382521242584,0.02976712766131144,0.009682837798482068,0.012364037650048258,0.04765209119337759,0.03292681598382101,0.023753027917858775,0.020573647064759962,0.021369069363093365,0.017294015103410415,0.030063003568977266,0.10039430952014691,0.01576275304943581,0.02294181531730756,0.009757017400039751,0.00732652789590285,0.04299106605133737,0.017747119796772567,
2011-05,0.0037756283617303454,0.028654097524930224,0.02139797561857899,0.030253084182954075,0.03665051444459234,0.018059520436113752,0.016602694290079368,0.0281011392134458,0.05251031557509637,0.026153338459801157,0.051070736487214864,0.04215045083222615,0.018280830994136982,0.026000262021646296,0.018034306867099344,0.0627284678464934,0.03149435185355461,0.009059829005473594,0.01791153990427055,0.03575884748768802,0.03148927498251599,0.04225937278159498,0.021670691518850847,0.034065032671607307,0.007878332452199209,0.007585472076031499,0.010610618927520675,0.024922669906592847,0.06025794015921496,0.006538902721342201,0.048363568458457955,0.013842683482628078,0.021954524944789198,0.05653412281993635,0.037378860689591654,
2011-04,0.040686094628923725,0.03875881653242996,0.02299050403202874,0.05603288633152623,0.03126323658162332,0.014584887561518003,0.014339139086168655,0.02389346670591761,0.0192804835206866,0.014310556444451943,0.02449871165694857,0.016331487607946792,0.018284647371845417,0.039022357219111695,0.0489878636767112,0.04243493143197148,0.038903705604963895,0.0011906658229801513,0.036937171582708615,0.010838974992355515,0.005114807817406025,0.0076488266780141475,0.0025362840921140605,0.04719402937020857,0.0031179437299719793,0.011541755174402214,0.03278719920333662,0.06655779056915714,0.06568565294738124,0.038463394140512516,0.008103276677359716,0.037404691057980756,0.0053193336119009595,0.07621877757954233,0.038735648957893686,
2011-03,0.011636747799897273,0.027773631624991215,0.01412709111923975,0.03696449787716226,0.03627757654709261,0.0042591537758462006,0.03234134270373238,0.04564464337994488,0.01997703205056739,0.014109219511244876,0.04486391388646176,0.020712619053594016,0.020345032902295956,0.014971716358507593,0.08555853659668149,0.051531517407997295,0.039928118031773006,0.009574775358284668,0.041762361579405875,0.03824829468336926,0.03722751889138809,0.017017082125913865,0.04080456326962203,0.0297954587635181,0.020376203530543095,0.012951531197681379,0.03581114801590612,0.03023930404670957,0.03077975937023546,0.029886344921765038,0.021343949191585776,0.028432284412712644,0.005082770167459273,0.016058914297664883,0.03358534554920497,
2011-02,0.07966851035496252,0.00755458254113839,0.01691002373762372,0.0025610577661930767,0.043889589777548435,0.03789813224126784,0.0053991463300320525,0.032437748430525784,0.019544061594454456,0.013765218541353003,0.06034228647118292,0.013890229535368753,0.001547916807219843,0.0033399475148732536,0.04323631959202761,0.046477192321755095,0.05568293020390532,0.025705677072548637,0.04896077031565137,1.8773749082913574E-4,0.031417248248201676,0.01137953322151182,0.0473058919588335,0.026361665493107138,0.020911833750128755,0.017190952996108587,0.08789097340834999,0.007939224089701756,0.05140463715650315,0.02473268570249402,0.016925044016814852,0.016929077072946268,0.01790421901776534,0.06260619193207502,1.0174329499692205E-4,
2011-01,0.1431862358228105,0.022662853918336993,0.018058297583879158,0.009845094812356021,0.04660711007073856,4.0688422025675965E-4,-0.0013075474608675052,0.04845146116206265,0.034980882566445666,0.012055244930372865,0.005132955529429235,0.036101676372324955,0.04286312059468626,0.0031240720767888833,0.059586619001746804,0.01687816163205445,0.021816449791695662,0.039415522947219485,0.03684713203565621,0.0027768250960896745,0.010756483874052043,0.03618473303807172,0.014231447325231307,0.011197349394198603,0.0199000315294682,0.03305303757574766,0.06596047343619425,0.02395974998510886,0.016083111450009947,0.020177161508350756,0.0511809721275714,0.022042344324126113,0.004394207687349856,0.05313204685114938,0.018257797189286624,
2009-10,0.015440330768121065,0.08690599357730112,0.022366951553408693,0.07284544282155474,0.032540707598176274,0.015367117110892631,0.01056022809148771,0.009479934306324671,0.04801392989580655,0.01642095833881999,0.002509024777371801,0.005955813836772389,0.05389351568245562,0.004761258348637417,0.031118932518839855,0.02312649639007485,2.1059505628520523E-4,0.010529003524868978,0.005802348772745497,0.022618561891274397,0.07655060144547005,0.04350796020837976,0.048278363939440565,0.045043466330626496,0.05235226416270676,0.020487024150454093,0.011160498759485854,0.009373074046067508,0.026502278953346285,0.019188360147113965,0.05473947218913985,0.03501495714431299,0.03429579620856135,0.014924312778703465,0.01811442467497151,
